group,Treatment,Aperture
MC,A,1.319
MC,A,1.661
MC,A,1.215
MC,A,1.676
MC,A,1.203
MC,A,1.143
RL+S_D,B,1.386
RL+S_D,B,1.543
RL+S_D,B,1.264
RL+S_D,B,1.583
RL+S_D,B,1.227
RL+S_D,B,1.208
RL+S_RL,C,2.15
RL+S_RL,C,2.505
RL+S_RL,C,2.101
RL+S_RL,C,2.54
RL+S_RL,C,1.925
RL+S_RL,C,1.796
