Group,Treatment,Aperture
S,A,5.55104
D-AF-S,B,5.328313
RL-AF-S,C,7.332988
S,A,4.843982
D-AF-S,B,5.73196
RL-AF-S,C,7.665383
S,A,4.00489
D-AF-S,B,4.260693
RL-AF-S,C,5.673629
S,A,3.941265
D-AF-S,B,4.119377
RL-AF-S,C,6.655005
