group,Treatment,Aperture
MC,A,1.2843
MC,A,1.6537
MC,A,1.1795
MC,A,1.2136
RL+S_D,B,1.2245
RL+S_D,B,1.2521
RL+S_D,B,1.1148
RL+S_D,B,1.3556
RL+S_RL,C,1.96822
RL+S_RL,C,1.78268
RL+S_RL,C,1.51931
RL+S_RL,C,1.59111
