1D,Treatment,Aperture
MC,A,6.0545
MC,A,4.4019
MC,A,4.2153
MC,A,3.8799
MC,A,3.6795
MC,A,4.3785
At-Dark-AF,B,5.8259
At-Dark-AF,B,4.0265
At-Dark-AF,B,3.4909
At-Dark-AF,B,3.6375
At-Dark-AF,B,3.7921
At-Dark-AF,B,3.8872
At-RL-AF,C,7.37253
At-RL-AF,C,5.99277
At-RL-AF,C,5.82878
At-RL-AF,C,5.09648
At-RL-AF,C,4.62546
At-RL-AF,C,5.05379
