Treatment,treat,Group,Aperture
Red light,0mM,C,2.587
Red light,0mM,C,0.754
Red light,0mM,C,2.402
Red light,0mM,C,0.961
Red light,0mM,C,1.158
Red light,0mM,C,2.503
Red light,0mM,C,2.082
Red light,0mM,C,0.666
Red light,0mM,C,2.701
Red light,0mM,C,4.132
Red light,0mM,C,1.279
Red light,0mM,C,1.287
Red light,0mM,C,1.465
Red light,0mM,C,1.201
Red light,0mM,C,1.432
Red light,0mM,C,1.404
Red light,0mM,C,1.081
Red light,0mM,C,1.638
Red light,0mM,C,1.113
Red light,0mM,C,3.68
Red light,0mM,C,3.527
Red light,0mM,C,3.249
Red light,0mM,C,3.319
Red light,0mM,C,1.897
Red light,0mM,C,3.297
Red light,0mM,C,1.706
Red light,0mM,C,3.188
Red light,0mM,C,3.021
Red light,0mM,C,1.015
Red light,0mM,C,1.084
Red light,0mM,C,1.8
Red light,0mM,C,1.908
Red light,0mM,C,2.931
Red light,0mM,C,3.849
Red light,0mM,C,2.865
Red light,0mM,C,1.633
Red light,0mM,C,3.686
Red light,0mM,C,1.901
Red light,0mM,C,2.136
