Time,Group,subgroups,Value
0,Fructose,d,0.508645093
0,Fructose,d,0.177807317
0,Fructose,d,0.137837248
60,Fructose,e,0.116091776
60,Fructose,e,1.073610897
60,Fructose,e,0.420969891
120,Fructose,f,0.260601687
120,Fructose,f,0.479346641
120,Fructose,f,1.018539076
