Rep,Letter,Sugar,Aperture
Dark,A,Fructose,1.14
0 mM ,B,Fructose,1.54
1 mM ,C,Fructose,2.6
100 mM,D,Fructose,1.25
Dark,A,Fructose,0.73
0 mM ,B,Fructose,1.53
1 mM ,C,Fructose,2.12
100 mM,D,Fructose,1.08
Dark,A,Fructose,0.77
0 mM ,B,Fructose,1.39
1 mM ,C,Fructose,2.28
100 mM,D,Fructose,1.36
