Time,Group,subgroups,Value
0,Glucose,a,0.210407924
0,Glucose,a,0.068749941
0,Glucose,a,0.069968097
60,Glucose,b,0.054669601
60,Glucose,b,0.397626405
60,Glucose,b,0.128061057
120,Glucose,c,0.156947312
120,Glucose,c,0.190289628
120,Glucose,c,0.350437029
