Treatment,Group,Aperture
0.4mM,D,1.429142857
0mM,C,1.038555556
1mM,E,1.824428571
50mM,F,1.210285714
Dark,B,0.449571429
0.4mM,D,1.413142857
0mM,C,0.743333333
1mM,E,2.301857143
50mM,F,1.653714286
Dark,B,0.265142857
0.4mM,D,1.659571429
0mM,C,0.816333333
1mM,E,2.175714286
50mM,F,0.968428571
Dark,B,0.381428571
0.4mM,D,1.524571429
0mM,C,0.789444444
1mM,E,1.446428571
50mM,F,0.399714286
Dark,B,0.136142857
